"","date","hits","keyword","geo","time","gprop","category"
"343",2019-07-21,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"344",2019-07-28,4,"Hunting","GB","2017-01-01 2021-01-01","web",0
"345",2019-08-04,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"346",2019-08-11,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"347",2019-08-18,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
"348",2019-08-25,43,"Hunting","GB","2017-01-01 2021-01-01","web",0
"349",2019-09-01,100,"Hunting","GB","2017-01-01 2021-01-01","web",0
"350",2019-09-08,36,"Hunting","GB","2017-01-01 2021-01-01","web",0
"351",2019-09-15,36,"Hunting","GB","2017-01-01 2021-01-01","web",0
"352",2019-09-22,21,"Hunting","GB","2017-01-01 2021-01-01","web",0
"353",2019-09-29,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"354",2019-10-06,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"355",2019-10-13,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"356",2019-10-20,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"357",2019-10-27,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"358",2019-11-03,7,"Hunting","GB","2017-01-01 2021-01-01","web",0
"359",2019-11-10,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"360",2019-11-17,6,"Hunting","GB","2017-01-01 2021-01-01","web",0
"361",2019-11-24,5,"Hunting","GB","2017-01-01 2021-01-01","web",0
